lulc_feature,gwl_metric,districts,pearson_r
lulc_fallow_pct,gwl_amp85_m,28,0.536964180554646
lulc_fallow_pct,gwl_mean_m,28,0.42332407966765656
lulc_builtup_pct,gwl_mean_m,28,-0.4188800159790761
lulc_water_pct,gwl_amp85_m,28,-0.41060828878408456
lulc_fallow_pct,gwl_median_m,28,0.4011262424421436
lulc_plantation_pct,gwl_std_m,28,-0.37402251423290617
lulc_fallow_pct,gwl_std_m,28,0.3507910789731365
lulc_builtup_pct,gwl_median_m,28,-0.3443854266167347
lulc_grass_pct,gwl_amp85_m,28,0.3308186619919618
lulc_builtup_pct,gwl_amp85_m,28,-0.2988551050079816
lulc_water_pct,gwl_std_m,28,-0.2960272922640529
lulc_plantation_pct,gwl_amp85_m,28,-0.2903002467555913
lulc_plantation_pct,gwl_mean_m,28,-0.28054915353882226
lulc_grass_pct,gwl_median_m,28,-0.2580551733121796
lulc_grass_pct,gwl_mean_m,28,-0.223068182600757
lulc_cropland_pct,gwl_std_m,28,0.19304201395829476
lulc_plantation_pct,gwl_median_m,28,-0.17533041116424322
lulc_wasteland_pct,gwl_amp85_m,28,0.16562713570167567
lulc_water_pct,gwl_median_m,28,0.14164063670825947
lulc_wasteland_pct,gwl_mean_m,28,0.1325614011825021
lulc_forest_pct,gwl_mean_m,28,0.11149620387486772
lulc_cropland_pct,gwl_amp85_m,28,0.10858890756097739
lulc_water_pct,gwl_mean_m,28,0.1061128240390955
lulc_forest_pct,gwl_std_m,28,-0.098909050671236
lulc_forest_pct,gwl_median_m,28,0.08613268301353946
lulc_wasteland_pct,gwl_median_m,28,0.08532217556383735
lulc_builtup_pct,gwl_std_m,28,-0.0767605197912547
lulc_grass_pct,gwl_std_m,28,0.059733298311674544
lulc_cropland_pct,gwl_median_m,28,-0.04205426544247542
lulc_wasteland_pct,gwl_std_m,28,0.028586564524305167
lulc_cropland_pct,gwl_mean_m,28,-0.026568742469746578
lulc_forest_pct,gwl_amp85_m,28,-0.008949809026377108
lulc_shifting_cult_pct,gwl_mean_m,28,
lulc_shifting_cult_pct,gwl_median_m,28,
lulc_shifting_cult_pct,gwl_std_m,28,
lulc_shifting_cult_pct,gwl_amp85_m,28,
